Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557892998560, 8014, 331, 359, 414
1557892998580, 8033, 330, 361, 410
1557892998597, 8052, 328, 355, 412
1557892998616, 8071, 330, 351, 414
1557892998634, 8089, 328, 353, 423
1557892998654, 8108, 325, 354, 425
1557892998673, 8127, 324, 339, 422
1557892998691, 8145, 328, 331, 407
1557892998711, 8164, 331, 335, 403
1557892998728, 8182, 326, 340, 412
1557892998748, 8202, 323, 345, 413
1557892998765, 8220, 323, 348, 406
1557892998785, 8239, 320, 344, 408
1557892998806, 8258, 320, 340, 412
1557892998822, 8276, 318, 337, 411
1557892998842, 8295, 318, 328, 410
1557892998858, 8313, 319, 331, 409
1557892998878, 8333, 317, 334, 409
1557892998896, 8351, 317, 339, 411
1557892998915, 8370, 315, 335, 412
1557892998936, 8389, 318, 322, 412
1557892998952, 8408, 318, 317, 416
1557892998972, 8426, 318, 321, 413
1557892998990, 8444, 320, 323, 406
1557892999010, 8464, 322, 321, 408
1557892999030, 8482, 323, 319, 413
1557892999047, 8501, 325, 315, 405
1557892999068, 8520, 328, 310, 403
1557892999084, 8539, 328, 312, 399
1557892999103, 8557, 327, 321, 402
1557892999121, 8576, 329, 321, 397
1557892999140, 8595, 328, 318, 394
1557892999162, 8613, 330, 309, 399
1557892999178, 8632, 330, 304, 403
1557892999198, 8651, 330, 298, 405
1557892999215, 8670, 330, 293, 408
1557892999235, 8688, 327, 295, 410
1557892999252, 8707, 327, 298, 415
1557892999273, 8726, 325, 288, 417
1557892999293, 8744, 324, 277, 414
1557892999309, 8763, 320, 268, 414
1557892999329, 8781, 317, 261, 418
1557892999346, 8801, 312, 257, 426
1557892999367, 8819, 306, 253, 431
1557892999383, 8838, 299, 259, 432
1557892999404, 8857, 292, 265, 438
1557892999424, 8876, 285, 254, 456
1557892999440, 8894, 276, 236, 463
1557892999461, 8912, 263, 236, 461
1557892999477, 8932, 247, 243, 468
1557892999499, 8950, 233, 269, 460
1557892999514, 8969, 226, 298, 460
1557892999535, 8988, 225, 315, 465
1557892999555, 9007, 225, 329, 466
1557892999571, 9025, 228, 346, 454
1557892999591, 9043, 234, 357, 437
1557892999609, 9063, 244, 371, 428
1557892999628, 9081, 249, 369, 432
1557892999646, 9100, 252, 379, 420
1557892999665, 9119, 256, 405, 414
1557892999689, 9138, 264, 431, 407
1557892999707, 9156, 276, 415, 401
1557892999722, 9175, 290, 392, 391
1557892999739, 9194, 299, 402, 371
1557892999760, 9212, 304, 443, 363
1557892999777, 9231, 310, 458, 366
1557892999797, 9250, 326, 437, 371
1557892999817, 9269, 338, 402, 380
1557892999833, 9287, 347, 372, 378
1557892999854, 9306, 351, 368, 374
1557892999870, 9325, 351, 369, 376
1557892999890, 9344, 350, 372, 377
1557892999907, 9362, 348, 380, 371
1557892999927, 9380, 344, 387, 373
1557892999948, 9400, 344, 387, 382
1557892999965, 9418, 343, 379, 392
1557892999984, 9437, 344, 362, 391
1557893000001, 9456, 347, 356, 383
1557893000022, 9475, 348, 359, 394
1557893000038, 9493, 346, 351, 399
1557893000058, 9511, 345, 348, 393
1557893000079, 9531, 345, 353, 388
1557893000096, 9549, 340, 359, 393
1557893000116, 9568, 337, 358, 407
1557893000132, 9587, 336, 346, 419
1557893000153, 9606, 337, 336, 417
1557893000170, 9624, 337, 341, 402
1557893000189, 9643, 337, 346, 404
1557893000210, 9662, 334, 341, 413
1557893000226, 9680, 334, 342, 421
1557893000247, 9699, 336, 337, 425
1557893000263, 9718, 335, 330, 425
1557893000284, 9737, 333, 332, 427
1557893000300, 9755, 336, 325, 431
1557893000321, 9774, 337, 304, 428
1557893000341, 9793, 340, 312, 418
1557893000357, 9811, 335, 332, 432
1557893000378, 9830, 330, 335, 440
1557893000395, 9849, 328, 318, 432
1557893000415, 9868, 335, 308, 415
1557893000431, 9886, 334, 323, 420
1557893000452, 9905, 334, 312, 422
1557893000472, 9924, 331, 320, 411
1557893000489, 9943, 330, 344, 393
1557893000510, 9961, 330, 351, 392
1557893000526, 9979, 329, 332, 415
1557893000546, 9999, 333, 311, 427
1557893000566, 10017, 336, 306, 415
1557893000588, 10037, 338, 330, 399
1557893000604, 10057, 336, 341, 415
1557893000624, 10077, 336, 321, 432
1557893000644, 10096, 340, 306, 424
1557893000665, 10117, 342, 305, 418
1557893000686, 10136, 341, 312, 417
1557893000701, 10156, 340, 329, 405
1557893000722, 10175, 340, 338, 401
1557893000743, 10195, 343, 334, 396
1557893000763, 10215, 341, 334, 405
1557893000784, 10234, 338, 340, 416
1557893000804, 10255, 335, 348, 409
1557893000821, 10274, 336, 352, 408
1557893000841, 10294, 337, 348, 408
1557893000862, 10313, 338, 341, 407
1557893000882, 10334, 338, 340, 410
1557893000902, 10353, 336, 351, 406
1557893000923, 10373, 334, 360, 402
1557893000940, 10393, 334, 362, 400
1557893000960, 10413, 335, 356, 403
1557893000981, 10432, 337, 350, 407
1557893001001, 10452, 338, 346, 403
1557893001021, 10472, 336, 358, 407
1557893001041, 10491, 333, 362, 418
1557893001062, 10511, 333, 364, 399
1557893001079, 10531, 335, 359, 400
